time,zVel_E[0],zVel_N[1],vel_mps_E,vel_mps_N,gps_vel_mps_E,gps_vel_mps_N,vn_corr_mps_E,vn_corr_mps_N,rt_float_E,rt_float_N,P_Vel[0],P_Vel_N[1],
0.0000000,0.0000021,-0.0003121,0.0000021,0.0106879,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3820994,0.0113003,0.0310571,
0.0000000,0.0000021,-0.0073100,0.0000021,0.0106900,0.0000000,0.0180000,0.0000000,0.0000000,0.2377996,0.3701351,0.0112795,0.0309550,
0.0000000,0.0000021,-0.0012592,0.0000021,0.0107408,0.0000000,0.0120000,0.0000000,0.0000000,0.1941626,0.3687818,0.0112668,0.0308473,
0.0000000,0.0000021,0.0017495,0.0000021,0.0107495,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3937004,0.0112479,0.0307400,
0.0000000,0.0000021,-0.0032611,0.0000021,0.0107389,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3911521,0.0112228,0.0306467,
0.0000000,0.0000021,-0.0032412,0.0000021,0.0107588,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3660601,0.0112068,0.0305531,
0.0000000,0.0000021,0.0047812,0.0000021,0.0107812,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3507136,0.0111908,0.0304472,
0.0000000,0.0000021,0.0057455,0.0000021,0.0107455,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3535534,0.0111538,0.0303331,
0.0000000,0.0000020,0.0037035,0.0000020,0.0107035,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3605551,0.0111099,0.0302221,
0.0000000,0.0000020,0.0066776,0.0000020,0.0106776,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3741657,0.0110789,0.0301165,
0.0000000,0.0000020,0.0046347,0.0000020,0.0106347,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3860052,0.0110252,0.0300194,
0.0000000,0.0000020,-0.0043932,0.0000020,0.0106068,0.0000000,0.0150000,0.0000000,0.0000000,0.2170804,0.3646916,0.0109898,0.0299290,
0.0000000,0.0000020,0.0036362,0.0000020,0.0106362,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3807887,0.0109758,0.0298287,
0.0000000,0.0000020,-0.0043860,0.0000020,0.0106140,0.0000000,0.0150000,0.0000000,0.0000000,0.2170804,0.3924283,0.0109458,0.0297376,
0.0000000,0.0000020,-0.0053609,0.0000020,0.0106391,0.0000000,0.0160000,0.0000000,0.0000000,0.2241997,0.3937004,0.0109320,0.0296526,
0.0000000,0.0000020,0.0036693,0.0000020,0.0106693,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3781534,0.0109190,0.0295689,
0.0000000,0.0000020,0.0056470,0.0000020,0.0106470,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3478505,0.0108895,0.0294789,
